"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"ACS Omega","ACS OMEGA","2470-1343","2470-1343","CHEMISTRY, MULTIDISCIPLINARY - SCIE","55,287","4.1","Q2","0.65","63.07"%,
"PLoS Neglected Tropical Diseases","PLOS NEGLECT TROP D","1935-2735","1935-2735","PARASITOLOGY - SCIE","36,272","3.8","Q1","1.08","97.95"%,
"PLoS Neglected Tropical Diseases","PLOS NEGLECT TROP D","1935-2735","1935-2735","TROPICAL MEDICINE - SCIE","36,272","3.8","Q1","1.08","97.95"%,
"PLoS One","PLOS ONE","1932-6203","1932-6203","MULTIDISCIPLINARY SCIENCES - SCIE","886,924","3.7","Q2","0.91","96.82"%,
"Life-Basel","LIFE-BASEL","N/A","2075-1729","BIOLOGY - SCIE","8,915","3.2","Q2","0.64","99.56"%,
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","97,842","3.1","Q3","0.72","11.04"%,
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOPHYSICS - SCIE","97,842","3.1","Q2","0.72","11.04"%,
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","INFECTIOUS DISEASES - SCIE","17,535","3","Q3","0.85","99.53"%,
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","PARASITOLOGY - SCIE","17,535","3","Q2","0.85","99.53"%,
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","TROPICAL MEDICINE - SCIE","17,535","3","Q2","0.85","99.53"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","BIOCHEMICAL RESEARCH METHODS - SCIE","51,101","3","Q3","0.76","99.54"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","51,101","3","Q3","0.76","99.54"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","51,101","3","Q2","0.76","99.54"%,
"JOURNAL OF BIOENERGETICS AND BIOMEMBRANES","J BIOENERG BIOMEMBR","0145-479X","1573-6881","BIOPHYSICS - SCIE","2,823","3","Q2","0.55","7.58"%,
"JOURNAL OF BIOENERGETICS AND BIOMEMBRANES","J BIOENERG BIOMEMBR","0145-479X","1573-6881","CELL BIOLOGY - SCIE","2,823","3","Q3","0.55","7.58"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMICAL RESEARCH METHODS - SCIE","11,686","2.9","Q3","0.81","1.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11,686","2.9","Q3","0.81","1.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","11,686","2.9","Q3","0.81","1.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","CRYSTALLOGRAPHY - SCIE","11,686","2.9","Q2","0.81","1.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","11,686","2.9","Q2","0.81","1.66"%,
"MEMORIAS DO INSTITUTO OSWALDO CRUZ","MEM I OSWALDO CRUZ","0074-0276","1678-8060","PARASITOLOGY - SCIE","6,336","2.8","Q2","0.73","95.81"%,
"MEMORIAS DO INSTITUTO OSWALDO CRUZ","MEM I OSWALDO CRUZ","0074-0276","1678-8060","TROPICAL MEDICINE - SCIE","6,336","2.8","Q2","0.73","95.81"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","ENDOCRINOLOGY & METABOLISM - SCIE","1,902","2.4","Q4","0.46","6.25"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","IMMUNOLOGY - SCIE","1,902","2.4","Q4","0.46","6.25"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","NEUROSCIENCES - SCIE","1,902","2.4","Q4","0.46","6.25"%,
"JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY","J THEOR COMPUT CHEM","0219-6336","1793-6888","CHEMISTRY, MULTIDISCIPLINARY - SCIE","649","2.4","Q3","0.34","5.88"%,
"PROTEIN AND PEPTIDE LETTERS","PROTEIN PEPTIDE LETT","0929-8665","1875-5305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2,500","1.6","Q4","0.26","0"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
