"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","INFECTIOUS DISEASES - SCIE","18,851","3.469","Q3","0.86","99.77"%,
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","PARASITOLOGY - SCIE","18,851","3.469","Q2","0.86","99.77"%,
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","TROPICAL MEDICINE - SCIE","18,851","3.469","Q2","0.86","99.77"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","BIOCHEMICAL RESEARCH METHODS - SCIE","50,683","3.327","Q2","0.82","99.68"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","50,683","3.327","Q3","0.82","99.68"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","50,683","3.327","Q2","0.82","99.68"%,
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","108,402","3.322","Q3","0.76","9.1"%,
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOPHYSICS - SCIE","108,402","3.322","Q3","0.76","9.1"%,
"Life-Basel","LIFE-BASEL","N/A","2075-1729","BIOLOGY - SCIE","3,944","3.253","Q2","0.58","94.63"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMICAL RESEARCH METHODS - SCIE","11,586","2.942","Q3","0.78","1.81"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11,586","2.942","Q3","0.78","1.81"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","11,586","2.942","Q3","0.78","1.81"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","CRYSTALLOGRAPHY - SCIE","11,586","2.942","Q2","0.78","1.81"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","11,586","2.942","Q2","0.78","1.81"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","ENDOCRINOLOGY & METABOLISM - SCIE","1,854","2.795","Q4","0.42","4.55"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","IMMUNOLOGY - SCIE","1,854","2.795","Q4","0.42","4.55"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","NEUROSCIENCES - SCIE","1,854","2.795","Q3","0.42","4.55"%,
"MEMORIAS DO INSTITUTO OSWALDO CRUZ","MEM I OSWALDO CRUZ","0074-0276","1678-8060","PARASITOLOGY - SCIE","7,706","2.747","Q2","0.74","97.76"%,
"MEMORIAS DO INSTITUTO OSWALDO CRUZ","MEM I OSWALDO CRUZ","0074-0276","1678-8060","TROPICAL MEDICINE - SCIE","7,706","2.747","Q2","0.74","97.76"%,
"JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY","J THEOR COMPUT CHEM","0219-6336","1793-6888","CHEMISTRY, MULTIDISCIPLINARY - SCIE","781","2.44","Q3","0.28","4.4"%,
"PROTEIN AND PEPTIDE LETTERS","PROTEIN PEPTIDE LETT","0929-8665","1875-5305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2,538","1.927","Q4","0.27","0"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
