"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","24,157","4.956","Q2","1.34","10.01"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","24,157","4.956","Q1","1.34","10.01"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","24,157","4.956","Q1","1.34","10.01"%,
"INTERNATIONAL IMMUNOPHARMACOLOGY","INT IMMUNOPHARMACOL","1567-5769","1878-1705","IMMUNOLOGY - SCIE","20,563","4.932","Q2","1.21","5.5"%,
"INTERNATIONAL IMMUNOPHARMACOLOGY","INT IMMUNOPHARMACOL","1567-5769","1878-1705","PHARMACOLOGY & PHARMACY - SCIE","20,563","4.932","Q2","1.21","5.5"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","BIOLOGY - SCIE","9,751","4.589","Q1","1.13","5.45"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","9,751","4.589","Q2","1.13","5.45"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","ENGINEERING, BIOMEDICAL - SCIE","9,751","4.589","Q2","1.13","5.45"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","9,751","4.589","Q1","1.13","5.45"%,
"PHYSIOLOGIA PLANTARUM","PHYSIOL PLANTARUM","0031-9317","1399-3054","PLANT SCIENCES - SCIE","18,830","4.5","Q1","1.48","8.49"%,
"PLoS Neglected Tropical Diseases","PLOS NEGLECT TROP D","1935-2735","1935-2735","PARASITOLOGY - SCIE","35,321","4.411","Q1","1.37","99.92"%,
"PLoS Neglected Tropical Diseases","PLOS NEGLECT TROP D","1935-2735","1935-2735","TROPICAL MEDICINE - SCIE","35,321","4.411","Q1","1.37","99.92"%,
"Life-Basel","LIFE-BASEL","N/A","2075-1729","BIOLOGY - SCIE","1,851","3.817","Q2","0.69","99.6"%,
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","105,153","3.575","Q3","0.8","6.4"%,
"BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","BIOCHEM BIOPH RES CO","0006-291X","1090-2104","BIOPHYSICS - SCIE","105,153","3.575","Q2","0.8","6.4"%,
"ACS Omega","ACS OMEGA","2470-1343","2470-1343","CHEMISTRY, MULTIDISCIPLINARY - SCIE","23,259","3.512","Q2","0.59","99.74"%,
"PLoS One","PLOS ONE","1932-6203","1932-6203","MULTIDISCIPLINARY SCIENCES - SCIE","857,751","3.24","Q2","0.57","99.8"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","BIOCHEMICAL RESEARCH METHODS - SCIE","43,420","3.169","Q3","0.89","99.13"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","43,420","3.169","Q3","0.89","99.13"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","1471-2105","1471-2105","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","43,420","3.169","Q2","0.89","99.13"%,
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","INFECTIOUS DISEASES - SCIE","15,906","2.979","Q3","0.93","99.78"%,
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","PARASITOLOGY - SCIE","15,906","2.979","Q2","0.93","99.78"%,
"MALARIA JOURNAL","MALARIA J","N/A","1475-2875","TROPICAL MEDICINE - SCIE","15,906","2.979","Q1","0.93","99.78"%,
"JOURNAL OF BIOENERGETICS AND BIOMEMBRANES","J BIOENERG BIOMEMBR","0145-479X","1573-6881","BIOPHYSICS - SCIE","2,952","2.945","Q3","0.53","7.69"%,
"JOURNAL OF BIOENERGETICS AND BIOMEMBRANES","J BIOENERG BIOMEMBR","0145-479X","1573-6881","CELL BIOLOGY - SCIE","2,952","2.945","Q3","0.53","7.69"%,
"MEMORIAS DO INSTITUTO OSWALDO CRUZ","MEM I OSWALDO CRUZ","0074-0276","1678-8060","PARASITOLOGY - SCIE","7,753","2.743","Q2","0.76","99.65"%,
"MEMORIAS DO INSTITUTO OSWALDO CRUZ","MEM I OSWALDO CRUZ","0074-0276","1678-8060","TROPICAL MEDICINE - SCIE","7,753","2.743","Q2","0.76","99.65"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMICAL RESEARCH METHODS - SCIE","9,768","2.518","Q3","0.73","1.86"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9,768","2.518","Q4","0.73","1.86"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","9,768","2.518","Q3","0.73","1.86"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","CRYSTALLOGRAPHY - SCIE","9,768","2.518","Q2","0.73","1.86"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","9,768","2.518","Q2","0.73","1.86"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","ENDOCRINOLOGY & METABOLISM - SCIE","1,790","2.492","Q4","0.39","1.25"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","IMMUNOLOGY - SCIE","1,790","2.492","Q4","0.39","1.25"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","1021-7401","1423-0216","NEUROSCIENCES - SCIE","1,790","2.492","Q3","0.39","1.25"%,
"PROTEIN AND PEPTIDE LETTERS","PROTEIN PEPTIDE LETT","0929-8665","1875-5305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2,640","1.89","Q4","0.26","0"%,
"JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY","J THEOR COMPUT CHEM","0219-6336","1793-6888","CHEMISTRY, MULTIDISCIPLINARY - SCIE","693","0.939","Q4","0.16","2.67"%,
"JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","J BIOMOL STRUCT DYN","0739-1102","1538-0254","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","10,237","N/A","N/A","0.92","1.36"%,
"JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","J BIOMOL STRUCT DYN","0739-1102","1538-0254","BIOPHYSICS - SCIE","10,237","N/A","N/A","0.92","1.36"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
