"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","10,623","7.574","Q1","1.57","4.44"%,
"JOURNAL OF NETWORK AND COMPUTER APPLICATIONS","J NETW COMPUT APPL","1084-8045","1095-8592","COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE","10,623","7.574","Q1","1.57","4.44"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","CHEMISTRY, ANALYTICAL - SCIE","125,459","3.847","Q2","0.9","95.85"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","125,459","3.847","Q2","0.9","95.85"%,
"SENSORS","SENSORS-BASEL","N/A","1424-8220","INSTRUMENTS & INSTRUMENTATION - SCIE","125,459","3.847","Q2","0.9","95.85"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8,357","3.662","Q2","0.94","3.22"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","8,357","3.662","Q2","0.94","3.22"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","TELECOMMUNICATIONS - SCIE","8,357","3.662","Q2","0.94","3.22"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","173,341","3.476","Q2","0.93","99.52"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","173,341","3.476","Q2","0.93","99.52"%,
"IEEE Access","IEEE ACCESS","2169-3536","2169-3536","TELECOMMUNICATIONS - SCIE","173,341","3.476","Q2","0.93","99.52"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","CHEMISTRY, MULTIDISCIPLINARY - SCIE","63,761","2.838","Q3","0.59","95.81"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","ENGINEERING, MULTIDISCIPLINARY - SCIE","63,761","2.838","Q2","0.59","95.81"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","63,761","2.838","Q3","0.59","95.81"%,
"Applied Sciences-Basel","APPL SCI-BASEL","N/A","2076-3417","PHYSICS, APPLIED - SCIE","63,761","2.838","Q2","0.59","95.81"%,
"International Journal of Network Management","INT J NETW MANAG","1055-7148","1099-1190","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","411","1.914","Q4","0.44","7.5"%,
"International Journal of Network Management","INT J NETW MANAG","1055-7148","1099-1190","TELECOMMUNICATIONS - SCIE","411","1.914","Q3","0.44","7.5"%,
"INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","INT J COMMUN SYST","1074-5351","1099-1131","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","3,307","1.882","Q3","0.45","0.62"%,
"INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","INT J COMMUN SYST","1074-5351","1099-1131","TELECOMMUNICATIONS - SCIE","3,307","1.882","Q4","0.45","0.62"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
