"Journal Data Filtered By:  Selected Editions: SCIE;SSCI Selected JCR Year: 2018 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2018 JIF,JIF Quartile,2018 JCI,% of OA Gold
"SENSORS","SENSORS-BASEL","1424-8220","1424-8220","CHEMISTRY, ANALYTICAL - SCIE","46,222","3.031","Q2","0.85","100"%,
"SENSORS","SENSORS-BASEL","1424-8220","1424-8220","ELECTROCHEMISTRY - SCIE","46,222","3.031","Q2","0.85","100"%,
"SENSORS","SENSORS-BASEL","1424-8220","1424-8220","INSTRUMENTS & INSTRUMENTATION - SCIE","46,222","3.031","Q1","0.85","100"%,
"Applied Sciences-Basel","APPL SCI-BASEL","2076-3417","2076-3417","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5,955","2.217","Q3","0.62","100"%,
"Applied Sciences-Basel","APPL SCI-BASEL","2076-3417","2076-3417","MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE","5,955","2.217","Q3","0.62","100"%,
"Applied Sciences-Basel","APPL SCI-BASEL","2076-3417","2076-3417","PHYSICS, APPLIED - SCIE","5,955","2.217","Q2","0.62","100"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","861","1.91","Q3","0.59","3.09"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","861","1.91","Q3","0.59","3.09"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","TELECOMMUNICATIONS - SCIE","861","1.91","Q3","0.59","3.09"%,
"INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","INT J COMMUN SYST","1074-5351","1099-1131","ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","1,863","1.278","Q3","0.56","0.63"%,
"INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","INT J COMMUN SYST","1074-5351","1099-1131","TELECOMMUNICATIONS - SCIE","1,863","1.278","Q4","0.56","0.63"%,
"International Journal of Network Management","INT J NETW MANAG","1055-7148","1099-1190","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","275","1.231","Q4","0.57","0.99"%,
"International Journal of Network Management","INT J NETW MANAG","1055-7148","1099-1190","TELECOMMUNICATIONS - SCIE","275","1.231","Q4","0.57","0.99"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
