"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","11,586","2.942","Q2","0.78","1.81"%,
"JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","J BRAZIL CHEM SOC","0103-5053","1678-4790","CHEMISTRY, MULTIDISCIPLINARY - SCIE","7,959","2.135","Q3","0.3","98.96"%,
"EXPERIMENTAL PARASITOLOGY","EXP PARASITOL","0014-4894","1090-2449","PARASITOLOGY - SCIE","7,027","2.132","Q3","0.59","10.89"%,
"PROTEIN ENGINEERING DESIGN & SELECTION","PROTEIN ENG DES SEL","1741-0126","1741-0134","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5,454","1.952","Q4","0.33","12.7"%,
"PROTEIN ENGINEERING DESIGN & SELECTION","PROTEIN ENG DES SEL","1741-0126","1741-0134","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","5,454","1.952","Q4","0.33","12.7"%,
"PROTEIN AND PEPTIDE LETTERS","PROTEIN PEPTIDE LETT","0929-8665","1875-5305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2,538","1.927","Q4","0.27","0"%,
"BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING","BRAZ J CHEM ENG","0104-6632","1678-4383","ENGINEERING, CHEMICAL - SCIE","3,279","1.772","Q3","0.24","43.94"%,
"BRAZILIAN JOURNAL OF PHYSICS","BRAZ J PHYS","0103-9733","1678-4448","PHYSICS, MULTIDISCIPLINARY - SCIE","1,799","1.364","Q3","0.31","0.53"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
